firstName,lastName,regionFN,languageFN,languageLN,nationality,genderFN,genderF,genderM,averageHeightForCountryMetricCM,STDHeightForCountryMetricCM
Nsonowa,Obeng,Africa,Akan,," Ghana, Ivory Coast and Togo",w,1,0,158.5,7.11
Elba,Figueroa,South America,Spanish,Spanish,Argentina,w,1,0,161.2,7.11
Asal,Banerjee,Central Asia,Arabic/Persian/Punjabi/Urdu/Bengali,,Bangladesh,w,1,0,150.3,7.11
Flor,Teodoro,South America,Spanish/Portuguese,Portuguese,Bolivia,w,1,0,155.6 ,7.11
Gergana,Mateeva,Europe,Bulgarian,w,Bulgaria,w,1,0,164.6,7.11
Caleb,Garret,Europe,"English, Biblical",,Canada,m,0,1,178.7,7.42
Martin,Fay,Europe,"English, French, German, Swedish, Norwegian, Danish, Estonian, Russian, Romanian, Czech, Slovak, Slovene, Croatian, Serbian, Hungarian, Bulgarian, Macedonian, Finnish",English/French,Canada,m,0,1,178.7,7.42
Eustaquia,Rosario,South America,spanish,Spanish,Chile,w,1,0,159.4,7.11
Wei,Chia,East Asia,Chinese,,China: Guangdong,w,1,0,163.5,7.11
Yáng ,Lam,East Asia,Chinese,,China: Heibei,m,0,1,175.7,7.42
Yin,Ng,East Asia,Chinese,,China: heilongjiang,m,0,1,175.7,7.42
Xin,Du,East Asia,Chinese,,China: Hunan,w,1,0,163.5,7.11
Guiying,Liang,East Asia,Chinese,,China: Jiangxi,m,0,1,175.7,7.42
Ru,Chen,East Asia,Chinese,,China: Shandong,w,1,0,163.5,7.11
Tāo ,Jiang,East Asia,Chinese,,China: Shanghai,w,1,0,163.5,7.11
Shun,Lu,East Asia,Chinese,,China: Zhejiang,m,0,1,175.7,7.42
Abilio,Pascual,South America,Spanish,Spanish,Colombia,m,0,1,171.9,7.42
Nazaret,Contreras,South America,Spanish/ Armenian,Spanish,Costa Rica,w,1,0,160.4 ,7.11
Stefan,Sörensen,Europe,"German, Dutch, Swedish, Norwegian, Danish, English, Biblical, Biblical Latin",,Denmark,m,0,1,181.9,7.42
Yesenia,Benítez,South America,Spanish,Spanish,Ecuador,w,1,0,155.2,7.11
José,Rivas,South America,Spanish (Americanized/ Filipinized),Spanish,EL Salvador,w,1,0,156.4,7.11
Delilah,Alden,Europe,English,,England,w,1,0,163.9 ,7.11
﻿Eustache,Olivier,Europe,French,,France,m,0,1,178.6,7.42
Jordane,Dufour,Europe,French,,France,m,0,1,178.6,7.42
Jennah,Babineaux,Europe,French,,France,w,1,0,164.5,7.11
Ernesto,Rodriquez,South America,Spanish (Latin American/ Modern)/ Portuguese (Brazilian/ Modern),Spanish,Honduras,m,0,1,169.6,7.42
Viraj,Chaudhari,Central Asia,Marathai/Gujarati,Marathi/Gujarati,India: Gujarat,m,0,1,166.5,7.42
Akash,Sharma,Central Asia,Hindi/Marathi/Bengali,Hindi/ Marathi/ Bengali/ Assamese/ Gujarati/ Telugu/ Kannada/ Malayalam/ Tamil/ Nepali,India: Madhya Pradesh,m,0,1,166.5,7.42
Rani,Joshi,Central Asia,Hindi/Marathi/odia,Hindi/Marathi/Gujarati/Nepali,India: Maharashtra,w,1,0,155.2,7.11
Tapan,Gupta,Central Asia,bengali/odia/assamese,,India: Odisha,m,0,1,166.5,7.42
Subramaniam,Iyer,Central Asia,Tamil ,"Tamil (Brahmin caste, Iyer subcaste)",India:Tamilnadu,m,0,1,166.5,7.42
Zulfikar,Bayu,South East Asia,Arabic/ Urdu/ Indonesian,,Indonesia,m,0,1,166.3,7.42
Faiz,Tan,South East Asia,Arabic/Malay/Indonesian,,Indonesia,m,0,1,166.3,7.42
 Junaidi,Surya,South East Asia,Indonesian,,Indonesia,m,0,1,166.3,7.42
Cinta,Baskoro,South East Asia,Indonesian,,Indonesia,w,1,0,154.4,7.11
Dwi,Gunadi,South East Asia,Indonesian,,Indonesia,w,1,0,154.4,7.11
Aqil,Khan,Central Asia,Arabic/urdu,Urdu/Pashto/Bengali,Iran,m,0,1,175.6,7.42
Reza,Afshari,Central Asia,Persian/Indonesian/Bengali,"Persian, Urdu, Bengali",Iran,m,0,1,175.6,7.42
Shahnaz,Jamshidi,Central Asia,persian/Arabic/Urdu,Persian,Iran,w,1,0,161.2,7.11
Nadia,Jassim,Central Asia,Arabic/urdu/bengali/indonesian/malay,,Iraq,w,1,0,161.2,7.11
Miguel,Aiza,Europe,Italian ,,Italy,m,0,1,174.4,7.42
Maura,Abano,Europe,Irish/English/Italian/Spanish/Protuguese/Late Roman,,Italy,w,1,0,161.8,7.11
Angiola,Nardi,Europe,Italian,,Italy,w,1,0,161.8,7.11
Lucia,Romano,Europe,Italian/ German/ Dutch/ English/ Swedish/ Norwegian/ Danish/ Romanian/ Slovak/ Ancient Roman,,Italy,w,1,0,161.8,7.11
